timestamp,total_count_all_0,new_count_all_0,removed_count_all_0,q_all_0,k_all_0,v_all_0,total_count_truck_0,new_count_truck_0,removed_count_truck_0,q_truck_0,k_truck_0,v_truck_0,total_count_bus_0,new_count_bus_0,removed_count_bus_0,q_bus_0,k_bus_0,v_bus_0,total_count_car_0,new_count_car_0,removed_count_car_0,q_car_0,k_car_0,v_car_0,timestamp,total_count_all_1,new_count_all_1,removed_count_all_1,q_all_1,k_all_1,v_all_1,total_count_truck_1,new_count_truck_1,removed_count_truck_1,q_truck_1,k_truck_1,v_truck_1,total_count_bus_1,new_count_bus_1,removed_count_bus_1,q_bus_1,k_bus_1,v_bus_1,total_count_car_1,new_count_car_1,removed_count_car_1,q_car_1,k_car_1,v_car_1,timestamp,total_count_all_2,new_count_all_2,removed_count_all_2,q_all_2,k_all_2,v_all_2,total_count_truck_2,new_count_truck_2,removed_count_truck_2,q_truck_2,k_truck_2,v_truck_2,total_count_bus_2,new_count_bus_2,removed_count_bus_2,q_bus_2,k_bus_2,v_bus_2,total_count_car_2,new_count_car_2,removed_count_car_2,q_car_2,k_car_2,v_car_2
2024-05-01 11:35:40,3,3,0,3,0.1,30.0,3,3,0,3,0.1,30.0,3,3,0,3,0.1,30.0,3,3,0,3,0.1,30.0,2024-05-01 11:35:40,6,6,0,6,0.2,30.0,6,6,0,6,0.2,30.0,6,6,0,6,0.2,30.0,6,6,0,6,0.2,30.0,2024-05-01 11:35:40,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:35:50,6,3,2,3,0.2,15.0,6,3,2,3,0.2,15.0,6,3,2,3,0.2,15.0,6,3,2,3,0.2,15.0,2024-05-01 11:35:50,11,5,4,5,0.36666666666666664,13.636363636363637,11,5,4,5,0.36666666666666664,13.636363636363637,11,5,4,5,0.36666666666666664,13.636363636363637,11,5,4,5,0.36666666666666664,13.636363636363637,2024-05-01 11:35:50,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:00,12,6,3,6,0.4,15.0,12,6,3,6,0.4,15.0,12,6,3,6,0.4,15.0,12,6,3,6,0.4,15.0,2024-05-01 11:36:00,15,4,3,4,0.5,8.0,15,4,3,4,0.5,8.0,15,4,3,4,0.5,8.0,15,4,3,4,0.5,8.0,2024-05-01 11:36:00,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:10,18,6,5,6,0.6,10.0,18,6,5,6,0.6,10.0,18,6,5,6,0.6,10.0,18,6,5,6,0.6,10.0,2024-05-01 11:36:10,20,6,3,6,0.6666666666666666,9.0,20,6,3,6,0.6666666666666666,9.0,20,6,3,6,0.6666666666666666,9.0,20,6,3,6,0.6666666666666666,9.0,2024-05-01 11:36:10,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:20,19,1,2,1,0.6333333333333333,1.5789473684210527,19,1,2,1,0.6333333333333333,1.5789473684210527,19,1,2,1,0.6333333333333333,1.5789473684210527,19,1,2,1,0.6333333333333333,1.5789473684210527,2024-05-01 11:36:20,21,4,4,4,0.7,5.714285714285714,21,4,4,4,0.7,5.714285714285714,21,4,4,4,0.7,5.714285714285714,21,4,4,4,0.7,5.714285714285714,2024-05-01 11:36:20,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:30,27,9,5,9,0.9,10.0,27,9,5,9,0.9,10.0,27,9,5,9,0.9,10.0,27,9,5,9,0.9,10.0,2024-05-01 11:36:30,22,2,5,2,0.7333333333333333,2.7272727272727275,22,2,5,2,0.7333333333333333,2.7272727272727275,22,2,5,2,0.7333333333333333,2.7272727272727275,22,2,5,2,0.7333333333333333,2.7272727272727275,2024-05-01 11:36:30,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:40,29,3,7,3,0.9666666666666667,3.103448275862069,29,3,7,3,0.9666666666666667,3.103448275862069,29,3,7,3,0.9666666666666667,3.103448275862069,29,3,7,3,0.9666666666666667,3.103448275862069,2024-05-01 11:36:40,25,7,4,7,0.8333333333333334,8.4,25,7,4,7,0.8333333333333334,8.4,25,7,4,7,0.8333333333333334,8.4,25,7,4,7,0.8333333333333334,8.4,2024-05-01 11:36:40,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:36:50,33,5,6,5,1.1,4.545454545454545,33,5,6,5,1.1,4.545454545454545,33,5,6,5,1.1,4.545454545454545,33,5,6,5,1.1,4.545454545454545,2024-05-01 11:36:50,30,5,6,5,1.0,5.0,30,5,6,5,1.0,5.0,30,5,6,5,1.0,5.0,30,5,6,5,1.0,5.0,2024-05-01 11:36:50,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,
2024-05-01 11:37:00,38,8,3,8,1.2666666666666666,6.315789473684211,38,8,3,8,1.2666666666666666,6.315789473684211,38,8,3,8,1.2666666666666666,6.315789473684211,38,8,3,8,1.2666666666666666,6.315789473684211,2024-05-01 11:37:00,32,2,3,2,1.0666666666666667,1.875,32,2,3,2,1.0666666666666667,1.875,32,2,3,2,1.0666666666666667,1.875,32,2,3,2,1.0666666666666667,1.875,2024-05-01 11:37:00,1,1,0,1,0.03333333333333333,30.0,1,1,0,1,0.03333333333333333,30.0,1,1,0,1,0.03333333333333333,30.0,1,1,0,1,0.03333333333333333,30.0
2024-05-01 11:37:10,46,12,8,12,1.5333333333333334,7.826086956521738,46,12,8,12,1.5333333333333334,7.826086956521738,46,12,8,12,1.5333333333333334,7.826086956521738,46,12,8,12,1.5333333333333334,7.826086956521738,2024-05-01 11:37:10,33,2,5,2,1.1,1.8181818181818181,33,2,5,2,1.1,1.8181818181818181,33,2,5,2,1.1,1.8181818181818181,33,2,5,2,1.1,1.8181818181818181,2024-05-01 11:37:10,1,0,1,0,0.03333333333333333,0.0,1,0,1,0,0.03333333333333333,0.0,1,0,1,0,0.03333333333333333,0.0,1,0,1,0,0.03333333333333333,0.0
