timestamp,total_count_all_0,new_count_all_0,removed_count_all_0,q_all_0,k_all_0,v_all_0,total_count_truck_0,new_count_truck_0,removed_count_truck_0,q_truck_0,k_truck_0,v_truck_0,total_count_bus_0,new_count_bus_0,removed_count_bus_0,q_bus_0,k_bus_0,v_bus_0,total_count_car_0,new_count_car_0,removed_count_car_0,q_car_0,k_car_0,v_car_0,timestamp.1,total_count_all_1,new_count_all_1,removed_count_all_1,q_all_1,k_all_1,v_all_1,total_count_truck_1,new_count_truck_1,removed_count_truck_1,q_truck_1,k_truck_1,v_truck_1,total_count_bus_1,new_count_bus_1,removed_count_bus_1,q_bus_1,k_bus_1,v_bus_1,total_count_car_1,new_count_car_1,removed_count_car_1,q_car_1,k_car_1,v_car_1,timestamp.2,total_count_all_2,new_count_all_2,removed_count_all_2,q_all_2,k_all_2,v_all_2,total_count_truck_2,new_count_truck_2,removed_count_truck_2,q_truck_2,k_truck_2,v_truck_2,total_count_bus_2,new_count_bus_2,removed_count_bus_2,q_bus_2,k_bus_2,v_bus_2,total_count_car_2,new_count_car_2,removed_count_car_2,q_car_2,k_car_2,v_car_2,overall_congestion
2024-05-01 13:57:50,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,0,0,0,0.0,,2024-05-01 13:57:50,2,2,0,2,0.0666666666666666,30.0,2,2,0,2,0.0666666666666666,30.0,2,2,0,2,0.0666666666666666,30.0,2,2,0,2,0.0666666666666666,30.0,2024-05-01 13:57:50,1,1,0,1,0.0333333333333333,30.0,1,1,0,1,0.0333333333333333,30.0,1,1,0,1,0.0333333333333333,30.0,1,1,0,1,0.0333333333333333,30.0,
2024-05-01 13:58:00,4,4,0,4,0.1333333333333333,30.0,4,4,0,4,0.1333333333333333,30.0,4,4,0,4,0.1333333333333333,30.0,4,4,0,4,0.1333333333333333,30.0,2024-05-01 13:58:00,4,2,0,2,0.1333333333333333,15.0,4,2,0,2,0.1333333333333333,15.0,4,2,0,2,0.1333333333333333,15.0,4,2,0,2,0.1333333333333333,15.0,2024-05-01 13:58:00,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.001133333333333333
2024-05-01 13:58:10,6,2,0,2,0.2,10.0,6,2,0,2,0.2,10.0,6,2,0,2,0.2,10.0,6,2,0,2,0.2,10.0,2024-05-01 13:58:10,4,0,3,0,0.1333333333333333,0.0,4,0,3,0,0.1333333333333333,0.0,4,0,3,0,0.1333333333333333,0.0,4,0,3,0,0.1333333333333333,0.0,2024-05-01 13:58:10,1,0,1,0,0.0333333333333333,0.0,1,0,1,0,0.0333333333333333,0.0,1,0,1,0,0.0333333333333333,0.0,1,0,1,0,0.0333333333333333,0.0,0.0
2024-05-01 13:58:20,6,0,5,0,0.2,0.0,6,0,5,0,0.2,0.0,6,0,5,0,0.2,0.0,6,0,5,0,0.2,0.0,2024-05-01 13:58:20,4,0,1,0,0.1333333333333333,0.0,4,0,1,0,0.1333333333333333,0.0,4,0,1,0,0.1333333333333333,0.0,4,0,1,0,0.1333333333333333,0.0,2024-05-01 13:58:20,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0
2024-05-01 13:58:30,6,0,1,0,0.2,0.0,6,0,1,0,0.2,0.0,6,0,1,0,0.2,0.0,6,0,1,0,0.2,0.0,2024-05-01 13:58:30,4,1,0,1,0.1333333333333333,7.5,4,1,0,1,0.1333333333333333,7.5,4,1,0,1,0.1333333333333333,7.5,4,1,0,1,0.1333333333333333,7.5,2024-05-01 13:58:30,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0012333333333333332
2024-05-01 13:58:40,9,3,0,3,0.3,10.0,9,3,0,3,0.3,10.0,9,3,0,3,0.3,10.0,9,3,0,3,0.3,10.0,2024-05-01 13:58:40,4,0,0,0,0.1333333333333333,0.0,4,0,0,0,0.1333333333333333,0.0,4,0,0,0,0.1333333333333333,0.0,4,0,0,0,0.1333333333333333,0.0,2024-05-01 13:58:40,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0
2024-05-01 13:58:50,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,2024-05-01 13:58:50,5,1,1,1,0.1666666666666666,6.0,5,1,1,1,0.1666666666666666,6.0,5,1,1,1,0.1666666666666666,6.0,5,1,1,1,0.1666666666666666,6.0,2024-05-01 13:58:50,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.001566666666666666
2024-05-01 13:59:00,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,2024-05-01 13:59:00,5,0,1,0,0.1666666666666666,0.0,5,0,1,0,0.1666666666666666,0.0,5,0,1,0,0.1666666666666666,0.0,5,0,1,0,0.1666666666666666,0.0,2024-05-01 13:59:00,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0
2024-05-01 13:59:10,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,2024-05-01 13:59:10,7,2,0,2,0.2333333333333333,8.571428571428571,7,2,0,2,0.2333333333333333,8.571428571428571,7,2,0,2,0.2333333333333333,8.571428571428571,7,2,0,2,0.2333333333333333,8.571428571428571,2024-05-01 13:59:10,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.002133333333333333
2024-05-01 13:59:20,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,9,0,1,0,0.3,0.0,2024-05-01 13:59:20,7,0,2,0,0.2333333333333333,0.0,7,0,2,0,0.2333333333333333,0.0,7,0,2,0,0.2333333333333333,0.0,7,0,2,0,0.2333333333333333,0.0,2024-05-01 13:59:20,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0
2024-05-01 13:59:30,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,2024-05-01 13:59:30,8,1,0,1,0.2666666666666666,3.75,8,1,0,1,0.2666666666666666,3.75,8,1,0,1,0.2666666666666666,3.75,8,1,0,1,0.2666666666666666,3.75,2024-05-01 13:59:30,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0025666666666666663
2024-05-01 13:59:40,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,9,0,0,0,0.3,0.0,2024-05-01 13:59:40,8,0,0,0,0.2666666666666666,0.0,8,0,0,0,0.2666666666666666,0.0,8,0,0,0,0.2666666666666666,0.0,8,0,0,0,0.2666666666666666,0.0,2024-05-01 13:59:40,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,1,0,0,0,0.0333333333333333,0.0,0.0
